student_id,study_hours,attendance,previous_scores,final_score
1,2.5,75,60,62
2,5.0,90,78,82
3,1.0,55,45,48
4,6.5,95,88,91
5,3.0,80,65,68
6,4.5,85,74,78
7,0.5,40,30,33
8,7.0,98,92,95
9,3.5,78,70,73
10,2.0,65,55,57
11,5.5,88,80,84
12,1.5,60,48,51
13,6.0,92,85,88
14,4.0,82,72,76
15,2.5,70,58,61
16,8.0,99,95,97
17,3.0,75,63,66
18,5.0,87,77,80
19,1.0,50,40,43
20,4.5,84,73,77
21,6.5,94,87,90
22,2.0,68,52,55
23,7.5,97,93,95
24,3.5,79,68,71
25,1.5,58,46,49
26,5.5,89,81,85
27,4.0,83,71,75
28,2.5,72,60,63
29,6.0,93,86,89
30,3.0,77,64,67
31,0.5,42,32,35
32,5.0,86,76,80
33,1.0,52,42,45
34,4.5,85,74,78
35,7.0,96,90,93
36,2.0,66,54,57
37,6.5,95,88,91
38,3.5,80,69,72
39,1.5,62,49,52
40,5.5,90,82,85
41,4.0,84,72,76
42,2.5,71,59,62
43,7.5,98,94,96
44,3.0,76,63,66
45,6.0,91,84,88
46,1.0,48,38,41
47,5.0,88,78,82
48,4.5,86,75,79
49,2.0,67,53,56
50,8.0,100,96,98
